2011,vw,Tiguan,3.0L,"120,000KM",Oil change
2012,vw,Beetle,2.5L,"150,000KM",Brake pad wear
2011,vw,Beetle,3.0L,"150,000KM",Transmission flush
2011,vw,Tiguan,3.0L,"150,000KM",Steering and steering linkages
2012,vw,Tiguan,2.5L,"190,000KM",CV joints
2011,vw,Tiguan,2.5L,"210,000KM",Brake pad wear
2012,vw,Tiguan,3.0L,"150,000KM",Transmission flush
2010,vw,Passat,2.5L,"120,000KM",Wiper Wear and spray nozzles
2011,vw,Tiguan,3.0L,"210,000KM",Brake pad wear
2011,vw,Passat,2.5L,"190,000KM",CV joints
2012,vw,Tiguan,3.0L,"210,000KM",Brake pad wear
2010,vw,Tiguan,3.0L,"150,000KM",Brake pad wear
2011,vw,Passat,3.0L,"150,000KM",Brake pad wear
2012,vw,Beetle,2.5L,"210,000KM",Tire rotation
2010,vw,Tiguan,2.5L,"150,000KM",Steering and steering linkages
2011,vw,Passat,3.0L,"190,000KM",CV joints
2011,vw,Tiguan,3.0L,"150,000KM",Transmission flush
2010,vw,Beetle,3.0L,"150,000KM",Brake pad wear
2012,vw,Tiguan,2.5L,"120,000KM",Oil change
2012,vw,Passat,2.5L,"210,000KM",Tire rotation
2010,vw,Beetle,2.5L,"150,000KM",Transmission flush
2011,vw,Beetle,2.5L,"210,000KM",Brake pad wear
2011,vw,Passat,3.0L,"210,000KM",Tire rotation
2011,vw,Beetle,2.5L,"150,000KM",Transmission flush
2011,vw,Tiguan,2.5L,"150,000KM",Transmission flush
2011,vw,Tiguan,3.0L,"150,000KM",Brake pad wear
2011,vw,Passat,2.5L,"120,000KM",Brake fluid level and codition
2012,vw,Passat,2.5L,"210,000KM",Brake pad wear
2012,vw,Passat,3.0L,"190,000KM",CV joints
2012,vw,Beetle,2.5L,"150,000KM",Transmission flush
2011,vw,Passat,2.5L,"210,000KM",Tire rotation
2012,vw,Passat,2.5L,"150,000KM",Steering and steering linkages
2012,vw,Passat,3.0L,"120,000KM",Oil change
2011,vw,Beetle,3.0L,"120,000KM",Wiper Wear and spray nozzles
2010,vw,Tiguan,3.0L,"150,000KM",Steering and steering linkages
2010,vw,Beetle,2.5L,"150,000KM",Brake pad wear
2010,vw,Tiguan,2.5L,"120,000KM",Oil change
2010,vw,Beetle,2.5L,"150,000KM",Steering and steering linkages
2012,vw,Tiguan,3.0L,"120,000KM",Oil change
2011,vw,Tiguan,3.0L,"120,000KM",Wiper Wear and spray nozzles
2012,vw,Beetle,3.0L,"190,000KM",CV joints
2011,vw,Tiguan,3.0L,"210,000KM",Tire rotation
2010,vw,Beetle,3.0L,"120,000KM",Wiper Wear and spray nozzles
2010,vw,Tiguan,3.0L,"210,000KM",Tire rotation
2010,vw,Tiguan,2.5L,"210,000KM",Tire rotation
2012,vw,Beetle,3.0L,"150,000KM",Brake pad wear
2011,vw,Beetle,2.5L,"120,000KM",Oil change
2010,vw,Tiguan,2.5L,"150,000KM",Transmission flush
2010,vw,Beetle,2.5L,"210,000KM",Brake pad wear
2012,vw,Beetle,2.5L,"210,000KM",Brake pad wear
2010,vw,Passat,2.5L,"210,000KM",Brake pad wear
2012,vw,Tiguan,3.0L,"210,000KM",Tire rotation
2012,vw,Tiguan,3.0L,"150,000KM",Brake pad wear
2010,vw,Passat,3.0L,"150,000KM",Transmission flush
2010,vw,Beetle,3.0L,"210,000KM",Tire rotation
2010,vw,Tiguan,3.0L,"120,000KM",Wiper Wear and spray nozzles
2012,vw,Passat,2.5L,"190,000KM",CV joints
2010,vw,Passat,2.5L,"210,000KM",Tire rotation
2010,vw,Beetle,2.5L,"210,000KM",Tire rotation
2011,vw,Tiguan,2.5L,"210,000KM",Tire rotation
2010,vw,Passat,3.0L,"150,000KM",Steering and steering linkages
2010,vw,Beetle,3.0L,"190,000KM",CV joints
2011,vw,Passat,2.5L,"120,000KM",Wiper Wear and spray nozzles
2011,vw,Beetle,3.0L,"120,000KM",Brake fluid level and codition
2010,vw,Passat,3.0L,"190,000KM",CV joints
2012,vw,Beetle,3.0L,"210,000KM",Brake pad wear
2012,vw,Passat,3.0L,"120,000KM",Wiper Wear and spray nozzles
2011,vw,Beetle,2.5L,"210,000KM",Tire rotation
2010,vw,Tiguan,3.0L,"150,000KM",Transmission flush
2011,vw,Beetle,3.0L,"120,000KM",Oil change
2011,vw,Beetle,3.0L,"190,000KM",CV joints
2011,vw,Passat,2.5L,"150,000KM",Steering and steering linkages
2010,vw,Passat,3.0L,"150,000KM",Brake pad wear
2012,vw,Passat,3.0L,"150,000KM",Steering and steering linkages
2010,vw,Passat,2.5L,"190,000KM",CV joints
2010,vw,Passat,3.0L,"120,000KM",Wiper Wear and spray nozzles
2010,vw,Beetle,2.5L,"120,000KM",Oil change
2010,vw,Passat,3.0L,"120,000KM",Brake fluid level and codition
2010,vw,Beetle,2.5L,"120,000KM",Wiper Wear and spray nozzles
2012,vw,Passat,2.5L,"120,000KM",Oil change
2011,vw,Passat,2.5L,"150,000KM",Brake pad wear
2011,vw,Beetle,2.5L,"120,000KM",Wiper Wear and spray nozzles
2012,vw,Beetle,3.0L,"150,000KM",Steering and steering linkages
2012,vw,Passat,3.0L,"120,000KM",Brake fluid level and codition
2010,vw,Passat,3.0L,"120,000KM",Oil change
2012,vw,Beetle,2.5L,"150,000KM",Steering and steering linkages
2011,vw,Tiguan,2.5L,"120,000KM",Oil change
2011,vw,Beetle,3.0L,"210,000KM",Brake pad wear
2012,vw,Passat,3.0L,"150,000KM",Transmission flush
2010,vw,Beetle,3.0L,"210,000KM",Brake pad wear
2012,vw,Beetle,3.0L,"120,000KM",Brake fluid level and codition
2012,vw,Passat,2.5L,"150,000KM",Transmission flush
2010,vw,Beetle,3.0L,"150,000KM",Transmission flush
2010,vw,Tiguan,2.5L,"120,000KM",Brake fluid level and codition
2011,vw,Tiguan,2.5L,"120,000KM",Brake fluid level and codition
2011,vw,Passat,3.0L,"150,000KM",Steering and steering linkages
2010,vw,Tiguan,3.0L,"120,000KM",Oil change
2012,vw,Tiguan,2.5L,"150,000KM",Steering and steering linkages
2012,vw,Tiguan,2.5L,"150,000KM",Transmission flush
2012,vw,Beetle,3.0L,"120,000KM",Oil change
2010,vw,Tiguan,3.0L,"210,000KM",Brake pad wear
2012,vw,Passat,2.5L,"120,000KM",Wiper Wear and spray nozzles
2010,vw,Tiguan,3.0L,"190,000KM",CV joints
2010,vw,Passat,2.5L,"150,000KM",Steering and steering linkages
2011,vw,Beetle,2.5L,"120,000KM",Brake fluid level and codition
2010,vw,Passat,2.5L,"150,000KM",Transmission flush
2010,vw,Passat,3.0L,"210,000KM",Tire rotation
2012,vw,Tiguan,3.0L,"120,000KM",Brake fluid level and codition
2012,vw,Tiguan,3.0L,"150,000KM",Steering and steering linkages
2012,vw,Beetle,3.0L,"150,000KM",Transmission flush
2010,vw,Tiguan,3.0L,"120,000KM",Brake fluid level and codition
2010,vw,Tiguan,2.5L,"210,000KM",Brake pad wear
2011,vw,Passat,3.0L,"120,000KM",Oil change
2011,vw,Tiguan,3.0L,"120,000KM",Brake fluid level and codition
2011,vw,Passat,2.5L,"150,000KM",Transmission flush
2012,vw,Beetle,3.0L,"210,000KM",Tire rotation
2010,vw,Beetle,3.0L,"120,000KM",Brake fluid level and codition
2011,vw,Beetle,2.5L,"190,000KM",CV joints
2012,vw,Beetle,2.5L,"190,000KM",CV joints
2011,vw,Passat,3.0L,"150,000KM",Transmission flush
2012,vw,Passat,3.0L,"150,000KM",Brake pad wear
2012,vw,Passat,2.5L,"150,000KM",Brake pad wear
